,news_id,read_time
0,100648598,1394463264
1,100648802,1394463205
2,100648830,1394463196
3,100648915,1394463181
4,100648984,1394463158
5,100649040,1394463120
6,100644102,1393607588
7,100644648,1393607490
9,100643946,1393607128
10,100644648,1393606720
11,100656369,1395915117
12,100656551,1395915108
13,100656616,1395915103
14,100656637,1395915090
15,100656815,1395915079
16,100657146,1395915051
17,100657176,1395915022
18,100657188,1395915013
19,100657261,1395914986
20,100651212,1394775609
21,100655181,1396022914
22,100658325,1396022782
24,100651469,1394781308
25,100646087,1393906484
32,100652866,1395228744
33,100653403,1395228682
34,100653351,1395228661
35,100653403,1395228635
39,100648645,1394524570
40,100649503,1394524564
41,100646120,1394524558
42,100646153,1394524174
43,100649633,1394523940
45,100648981,1394522065
47,100656591,1395832481
48,100652898,1395150251
49,100651130,1394707536
50,100648593,1394261873
53,100643328,1393634226
57,100651397,1394872875
58,100651304,1394872673
59,100650707,1394872486
60,100651913,1394872158
61,100650795,1394871962
63,100646782,1394411945
64,100647336,1394411930
65,100647407,1394411922
66,100647597,1394411899
67,100647885,1394411887
68,100648235,1394411871
69,100648503,1394411816
70,100648582,1394411583
71,100648611,1394411561
72,100648634,1394411467
73,100648706,1394411380
74,100648717,1394411367
75,100648728,1394411300
76,100648752,1394411238
77,100648763,1394411206
78,100648768,1394411149
81,100651469,1394792782
82,100645485,1393950213
83,100646087,1393950181
85,100642618,1394872582
86,100642609,1394872496
87,100642596,1394872470
88,100642311,1394872366
89,100642309,1394872201
90,100642684,1394872135
91,100642302,1394871902
92,100651913,1394871843
93,100642596,1394871723
94,100648634,1394670353
95,100648717,1394670343
96,100648752,1394670325
97,100648768,1394670314
98,100648802,1394670286
99,100648830,1394670233
100,100648915,1394670219
101,100648984,1394670187
102,100649040,1394670174
103,100650174,1394670165
104,100650220,1394670108
105,100650702,1395211646
106,100652686,1395211598
107,100649558,1395211575
108,100649574,1395211562
109,100649853,1395211531
110,100649924,1395211492
111,100650144,1395211470
112,100650156,1395211436
113,100650174,1395211408
114,100650220,1395211350
115,100653403,1395211321
116,100652935,1395234802
117,100653104,1395234790
118,100653275,1395234781
119,100653327,1395234734
120,100653351,1395234684
121,100653403,1395234657
122,100648593,1394350168
124,100647924,1394350040
128,100645940,1393999108
129,100646722,1393999060
130,100646153,1394463918
131,100647125,1394463649
134,100649260,1394459895
135,100651469,1394799498
136,100650702,1394723415
137,100645864,1393942049
138,100645933,1393942020
139,100646120,1393941941
140,100646153,1393941734
141,100650844,1394707016
142,100650707,1394707001
143,100650844,1394706974
144,100651081,1394706815
145,100651099,1394706722
146,100650338,1394706499
147,100649202,1394706443
148,100648768,1394706316
149,100642301,1394706082
150,100642630,1394705967
151,100642311,1394705863
152,100642302,1394705703
153,100642309,1394705550
154,100642618,1394705425
155,100651130,1394705223
156,100650633,1394672497
158,100649202,1394505699
159,100648598,1394256074
160,100647825,1394164042
161,100646087,1393909521
162,100649524,1394530437
163,100649821,1394530188
164,100649879,1394529098
166,100638339,1394083991
167,100647230,1394083552
168,100648582,1394302654
169,100648595,1394296997
170,100648597,1394296836
171,100648595,1394296507
172,100648574,1394296279
173,100648724,1394296231
174,100648735,1394295899
175,100656709,1395857524
176,100648735,1394302167
177,100648598,1394301807
178,100648593,1394301549
179,100648598,1394300854
186,100655416,1395637395
187,100650338,1394676880
188,100648940,1394600494
189,100650060,1394600220
190,100649965,1394588556
191,100645708,1394182036
192,100648244,1394181837
193,100646609,1393994105
194,100648717,1394410857
195,100648752,1394410737
196,100648768,1394410689
197,100648593,1394410482
198,100648598,1394410354
199,100648892,1394410204
200,100642763,1393633983
201,100643494,1393633825
202,100643718,1393633800
203,100643789,1393633758
204,100643866,1393633677
205,100644102,1393633606
206,100644566,1393633601
207,100644648,1393633510
208,100653403,1395226542
209,100648752,1394781193
210,100649646,1394781062
211,100651344,1394781012
212,100651469,1394780892
213,100650220,1394611666
214,100657261,1396254867
216,100650174,1394883307
219,100649040,1394688933
222,100657188,1396231169
223,100656239,1396231142
224,100648645,1396229131
225,100658561,1396229010
226,100651950,1394985363
228,100580685,1393816969
231,100627424,1393816943
235,100658717,1396247250
236,100654559,1396018837
237,100658157,1396018144
238,100656591,1395835873
239,100622682,1395834400
240,100648337,1395743814
241,100654631,1395743619
242,100593196,1395743510
244,100655351,1395742969
245,100656418,1395742894
246,100655380,1395646050
247,100655351,1395645980
249,100652872,1395377232
250,100654367,1395377100
251,100653527,1395222211
253,100653362,1395221576
254,100652866,1395221331
255,100651404,1395136320
257,100652267,1395032741
258,100651934,1394890665
259,100647973,1394803466
260,100651032,1394775376
261,100648049,1394736237
262,100648337,1394736181
269,100647125,1394732749
270,100586036,1394731810
271,100651130,1394731264
272,100651212,1394731068
273,100650266,1394730917
274,100651194,1394730824
275,100650992,1394730653
277,100648892,1394451701
278,100421092,1394257516
279,100648319,1394257460
280,100647914,1394257423
281,100647785,1394256990
282,100648598,1394256783
